sample_fp	cycle	well	tile
data/sbs/real_images/P001_SBS_10x_C1_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	1
data/sbs/empty_images/P001_SBS_10x_C1_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	2
data/sbs/real_images/P001_SBS_10x_C1_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A1	100
data/sbs/real_images/P001_SBS_10x_C1_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A2	1
data/sbs/empty_images/P001_SBS_10x_C1_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A2	2
data/sbs/real_images/P001_SBS_10x_C1_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	A2	100
data/sbs/real_images/P001_SBS_10x_C2_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	2	A1	1
data/sbs/empty_images/P001_SBS_10x_C2_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	2	A1	2
data/sbs/real_images/P001_SBS_10x_C2_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	2	A1	100
data/sbs/real_images/P001_SBS_10x_C2_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	2	A2	1
data/sbs/empty_images/P001_SBS_10x_C2_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	2	A2	2
data/sbs/real_images/P001_SBS_10x_C2_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	2	A2	100
data/sbs/real_images/P001_SBS_10x_C3_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	3	A1	1
data/sbs/empty_images/P001_SBS_10x_C3_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	3	A1	2
data/sbs/real_images/P001_SBS_10x_C3_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	3	A1	100
data/sbs/real_images/P001_SBS_10x_C3_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	3	A2	1
data/sbs/empty_images/P001_SBS_10x_C3_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	3	A2	2
data/sbs/real_images/P001_SBS_10x_C3_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	3	A2	100
data/sbs/real_images/P001_SBS_10x_C4_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	4	A1	1
data/sbs/empty_images/P001_SBS_10x_C4_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	4	A1	2
data/sbs/real_images/P001_SBS_10x_C4_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	4	A1	100
data/sbs/real_images/P001_SBS_10x_C4_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	4	A2	1
data/sbs/empty_images/P001_SBS_10x_C4_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	4	A2	2
data/sbs/real_images/P001_SBS_10x_C4_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	4	A2	100
data/sbs/real_images/P001_SBS_10x_C5_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	5	A1	1
data/sbs/empty_images/P001_SBS_10x_C5_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	5	A1	2
data/sbs/real_images/P001_SBS_10x_C5_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	5	A1	100
data/sbs/real_images/P001_SBS_10x_C5_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	5	A2	1
data/sbs/empty_images/P001_SBS_10x_C5_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	5	A2	2
data/sbs/real_images/P001_SBS_10x_C5_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	5	A2	100
data/sbs/real_images/P001_SBS_10x_C6_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	6	A1	1
data/sbs/empty_images/P001_SBS_10x_C6_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	6	A1	2
data/sbs/real_images/P001_SBS_10x_C6_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	6	A1	100
data/sbs/real_images/P001_SBS_10x_C6_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	6	A2	1
data/sbs/empty_images/P001_SBS_10x_C6_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	6	A2	2
data/sbs/real_images/P001_SBS_10x_C6_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	6	A2	100
data/sbs/real_images/P001_SBS_10x_C7_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	7	A1	1
data/sbs/empty_images/P001_SBS_10x_C7_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	7	A1	2
data/sbs/real_images/P001_SBS_10x_C7_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	7	A1	100
data/sbs/real_images/P001_SBS_10x_C7_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	7	A2	1
data/sbs/empty_images/P001_SBS_10x_C7_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	7	A2	2
data/sbs/real_images/P001_SBS_10x_C7_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	7	A2	100
data/sbs/real_images/P001_SBS_10x_C8_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	8	A1	1
data/sbs/empty_images/P001_SBS_10x_C8_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	8	A1	2
data/sbs/real_images/P001_SBS_10x_C8_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	8	A1	100
data/sbs/real_images/P001_SBS_10x_C8_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	8	A2	1
data/sbs/empty_images/P001_SBS_10x_C8_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	8	A2	2
data/sbs/real_images/P001_SBS_10x_C8_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	8	A2	100
data/sbs/real_images/P001_SBS_10x_C9_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	9	A1	1
data/sbs/empty_images/P001_SBS_10x_C9_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	9	A1	2
data/sbs/real_images/P001_SBS_10x_C9_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	9	A1	100
data/sbs/real_images/P001_SBS_10x_C9_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	9	A2	1
data/sbs/empty_images/P001_SBS_10x_C9_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	9	A2	2
data/sbs/real_images/P001_SBS_10x_C9_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	9	A2	100
data/sbs/real_images/P001_SBS_10x_C10_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	10	A1	1
data/sbs/empty_images/P001_SBS_10x_C10_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	10	A1	2
data/sbs/real_images/P001_SBS_10x_C10_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	10	A1	100
data/sbs/real_images/P001_SBS_10x_C10_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	10	A2	1
data/sbs/empty_images/P001_SBS_10x_C10_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	10	A2	2
data/sbs/real_images/P001_SBS_10x_C10_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	10	A2	100
data/sbs/real_images/P001_SBS_10x_C11_Wells-A1_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	11	A1	1
data/sbs/empty_images/P001_SBS_10x_C11_Wells-A1_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	11	A1	2
data/sbs/real_images/P001_SBS_10x_C11_Wells-A1_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	11	A1	100
data/sbs/real_images/P001_SBS_10x_C11_Wells-A2_Points-001__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	11	A2	1
data/sbs/empty_images/P001_SBS_10x_C11_Wells-A2_Points-002__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	11	A2	2
data/sbs/real_images/P001_SBS_10x_C11_Wells-A2_Points-100__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	11	A2	100
