feature_id,feature_name,feature_type,compartment,channel,unit,software,version
{compartment}_K_{channel}_{channel},{Compartment} Costes K Statistic {Channel} over {Channel},correlation,{compartment},{channel},,cp_emulator,
{compartment}_angle_between_neighbors,{Compartment} Angle Between Neighbors,shape,{compartment},,radians,cp_emulator,
{compartment}_area,{Compartment} Area,shape,{compartment},,pixels^2,cp_emulator,
{compartment}_bounds_0,{Compartment} Bounding Box Min Row,shape,{compartment},,pixels,cp_emulator,
{compartment}_bounds_1,{Compartment} Bounding Box Min Column,shape,{compartment},,pixels,cp_emulator,
{compartment}_bounds_2,{Compartment} Bounding Box Max Row,shape,{compartment},,pixels,cp_emulator,
{compartment}_bounds_3,{Compartment} Bounding Box Max Column,shape,{compartment},,pixels,cp_emulator,
{compartment}_centroid_c,{Compartment} Centroid Column,shape,{compartment},,pixels,cp_emulator,
{compartment}_centroid_r,{Compartment} Centroid Row,shape,{compartment},,pixels,cp_emulator,
{compartment}_compactness,{Compartment} Compactness,shape,{compartment},,,cp_emulator,
{compartment}_convex_area,{Compartment} Convex Area,shape,{compartment},,pixels^2,cp_emulator,
{compartment}_correlation_{channel}_{channel},{Compartment} Correlation {Channel} vs {Channel},correlation,{compartment},{channel},,cp_emulator,
{compartment}_eccentricity,{Compartment} Eccentricity,shape,{compartment},,,cp_emulator,
{compartment}_euler_number,{Compartment} Euler Number,shape,{compartment},,,cp_emulator,
{compartment}_extent,{Compartment} Extent,shape,{compartment},,,cp_emulator,
{compartment}_first_neighbor_distance,{Compartment} First Neighbor Distance,shape,{compartment},,pixels,cp_emulator,
{compartment}_form_factor,{Compartment} Form Factor (Isoperimetric Quotient),shape,{compartment},,,cp_emulator,
{compartment}_hu_moments_0,{Compartment} Hu Moment 0,shape,{compartment},,,cp_emulator,
{compartment}_hu_moments_1,{Compartment} Hu Moment 1,shape,{compartment},,,cp_emulator,
{compartment}_hu_moments_2,{Compartment} Hu Moment 2,shape,{compartment},,,cp_emulator,
{compartment}_hu_moments_3,{Compartment} Hu Moment 3,shape,{compartment},,,cp_emulator,
{compartment}_hu_moments_4,{Compartment} Hu Moment 4,shape,{compartment},,,cp_emulator,
{compartment}_hu_moments_5,{Compartment} Hu Moment 5,shape,{compartment},,,cp_emulator,
{compartment}_hu_moments_6,{Compartment} Hu Moment 6,shape,{compartment},,,cp_emulator,
{compartment}_i,{Compartment} Row Index,shape,{compartment},,pixels,cp_emulator,
{compartment}_j,{Compartment} Column Index,shape,{compartment},,pixels,cp_emulator,
{compartment}_lstsq_slope_{channel}_{channel},{Compartment} Least-Squares Slope {Channel} vs {Channel},correlation,{compartment},{channel},,cp_emulator,
{compartment}_major_axis,{Compartment} Major Axis Length,shape,{compartment},,pixels,cp_emulator,
{compartment}_manders_{channel}_{channel},{Compartment} Manders Coefficient {Channel} over {Channel},correlation,{compartment},{channel},,cp_emulator,
{compartment}_max_feret_c0,{Compartment} Max Feret Endpoint Col 0,intensity,{compartment},,pixels,cp_emulator,
{compartment}_max_feret_c1,{Compartment} Max Feret Endpoint Col 1,intensity,{compartment},,pixels,cp_emulator,
{compartment}_max_feret_diameter,{Compartment} Max Feret Diameter,intensity,{compartment},,pixels,cp_emulator,
{compartment}_max_feret_r0,{Compartment} Max Feret Endpoint Row 0,intensity,{compartment},,pixels,cp_emulator,
{compartment}_max_feret_r1,{Compartment} Max Feret Endpoint Row 1,intensity,{compartment},,pixels,cp_emulator,
{compartment}_max_radius,{Compartment} Max Radius,intensity,{compartment},,pixels,cp_emulator,
{compartment}_mean_radius,{Compartment} Mean Radius,intensity,{compartment},,pixels,cp_emulator,
{compartment}_median_radius,{Compartment} Median Radius,intensity,{compartment},,pixels,cp_emulator,
{compartment}_min_feret_c0,{Compartment} Min Feret Endpoint Col 0,intensity,{compartment},,pixels,cp_emulator,
{compartment}_min_feret_c1,{Compartment} Min Feret Endpoint Col 1,intensity,{compartment},,pixels,cp_emulator,
{compartment}_min_feret_diameter,{Compartment} Min Feret Diameter,intensity,{compartment},,pixels,cp_emulator,
{compartment}_min_feret_r0,{Compartment} Min Feret Endpoint Row 0,intensity,{compartment},,pixels,cp_emulator,
{compartment}_min_feret_r1,{Compartment} Min Feret Endpoint Row 1,intensity,{compartment},,pixels,cp_emulator,
{compartment}_minor_axis,{Compartment} Minor Axis Length,intensity,{compartment},,pixels,cp_emulator,
{compartment}_number_neighbors_1,{Compartment} Number of Neighbors (d=1),shape,{compartment},,,cp_emulator,
{compartment}_orientation,{Compartment} Orientation,shape,{compartment},,radians,cp_emulator,
{compartment}_overlap_{channel}_{channel},{Compartment} Overlap Coefficient {Channel} vs {Channel},correlation,{compartment},{channel},,cp_emulator,
{compartment}_percent_touching_1,{Compartment} Percent Touching (d=1),shape,{compartment},,,cp_emulator,
{compartment}_perimeter,{Compartment} Perimeter,shape,{compartment},,pixels,cp_emulator,
{compartment}_rwc_{channel}_{channel},{Compartment} RWC Coefficient {Channel} over {Channel},correlation,{compartment},{channel},,cp_emulator,
{compartment}_second_neighbor_distance,{Compartment} Second Neighbor Distance,shape,{compartment},,pixels,cp_emulator,
{compartment}_solidity,{Compartment} Solidity,shape,{compartment},,,cp_emulator,
{compartment}_zernike_0_0,"{Compartment} Zernike Moment (0,0)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_1_1,"{Compartment} Zernike Moment (1,1)",shape,{compartment},,,cp_emulator,
{compartment}_zernike_2_0,"{Compartment} Zernike Moment (2,0)",shape,{compartment},,,cp_emulator,
